Produce_Variety,Volume_in_Kgs,Values_in_Ksh
Cereals,95.0,3934.266666666667
Horticulture,61.17391304347826,2027.3492286115006
Legumes,87.88888888888889,6920.851851851852
Roots & Tubers,104.25,2662.96875
