_id,County,CROP,Area  (HA),Production  (Tons),Yield ( Tons/HA)
141,BUSIA,Rice,1428,5715,4
142,ELGEYO MARAKWET,Rice,33,96,2.9
143,GARISSA,Rice,66,161,2.4
144,HOMA BAY,Rice,162,410,2.5
145,KAKAMEGA,Rice,166,362,2.2
146,KILIFI,Rice,228,698,3.1
147,KIRINYAGA,Rice,12015,49912,4.2
148,Kisumu,Rice,3570,13655,3.8
149,KWALE,Rice,279,980,3.5
150,LAMU,Rice,376,640,1.7
151,MERU,Rice,189,486,2.6
152,MIGORI,Rice,294,739,2.5
153,MURANG'A,Rice,209,451,2.2
154,SIAYA,Rice,8345,29434,3.5
155,TAITA TAVETA,Rice,380,1320,3.5
156,TANA RIVER,Rice,1210,3855,3.2
157,THARAKA NITHI,Rice,28,79,2.8
158,WEST POKOT,Rice,20,72,3.6
159,VIHIGA,Rice,4,18,4.5
